ID_Ticket,Articulos_Comprados
1000,Capuchino
1001,"Pan de Bono,Tinto"
1002,"Pan de Bono,Tinto"
1003,"Empanada,Tinto"
1004,"Capuchino,Jugo de Naranja"
1005,"Empanada,Tinto,Jugo de Naranja"
1006,Tinto
1007,Agua
1008,"Empanada,Tinto"
1009,Jugo de Naranja
1010,Jugo de Naranja
1011,"Galleta de Avena,Latte"
1012,Tinto
1013,"Capuchino,Jugo de Naranja,Torta de Chocolate"
1014,Tinto
1015,"Pan de Bono,Tinto"
1016,"Empanada,Tinto,Torta de Chocolate"
1017,"Empanada,Tinto,Latte"
1018,"Empanada,Tinto"
1019,"Latte,Torta de Chocolate"
1020,"Pan de Bono,Tinto,Latte"
1021,Agua
1022,"Latte,Torta de Chocolate"
1023,Tinto
1024,"Pan de Bono,Agua,Tinto"
1025,Agua
1026,Capuchino
1027,"Capuchino,Torta de Chocolate"
1028,Jugo de Naranja
1029,"Empanada,Tinto"
1030,"Pan de Bono,Tinto,Galleta de Avena"
1031,"Pan de Bono,Jugo de Naranja"
1032,"Empanada,Tinto"
1033,Jugo de Naranja
1034,"Galleta de Avena,Pan de Bono,Latte"
1035,"Pan de Bono,Tinto"
1036,"Capuchino,Tinto"
1037,"Agua,Empanada"
1038,Capuchino
1039,Capuchino
1040,"Empanada,Tinto"
1041,Capuchino
1042,"Empanada,Tinto"
1043,"Empanada,Tinto,Latte"
1044,"Pan de Bono,Tinto"
1045,"Empanada,Jugo de Naranja"
1046,"Pan de Bono,Jugo de Naranja"
1047,"Empanada,Jugo de Naranja"
1048,Tinto
1049,"Galleta de Avena,Latte"
1050,"Tinto,Torta de Chocolate"
1051,"Pan de Bono,Agua,Tinto"
1052,"Pan de Bono,Tinto"
1053,"Pan de Bono,Tinto"
1054,"Empanada,Tinto"
1055,Tinto
1056,"Empanada,Tinto"
1057,"Pan de Bono,Empanada,Jugo de Naranja"
1058,Capuchino
1059,"Pan de Bono,Agua"
1060,Jugo de Naranja
1061,"Capuchino,Jugo de Naranja"
1062,"Empanada,Jugo de Naranja"
1063,"Empanada,Tinto"
1064,"Tinto,Jugo de Naranja"
1065,"Empanada,Jugo de Naranja"
